Año,Cód. Institución,Nombre Institución,Tipo Institución,Clasificación1,Clasificación2,Clasificación3,Clasificación4,Clasificación5,Clasificación6,Comuna donde se imparte la carrera o programa,Nombre Region,Cód. Carrera,Carrera Genérica,Nombre Programa,Horario,Tipo Programa,Area Conocimiento,Tipo Carrera,IngresoDirecto,Año Inicio Actividades,Nombre del Campus,Duración (en semestres),Título,Grado Académico,Promedio Puntaje (promedio matemáticas y lenguaje),Puntaje de corte (primer seleccionado),Puntaje de corte (promedio de la carrera),Puntaje de corte (último seleccionado),Promedio Puntaje NEM,Promedio Puntaje Ranking,Nº Alumnos Ingreso Via PSU o PDT,Nº Alumnos Ingreso Otra Via,Valor de matrícula,Valor de arancel,Valor del Título,Tipo Moneda,Vacantes,Matrícula primer año hombres,Matrícula primer año mujeres,Matrícula primer año extranjeros,Matrícula Primer Año,Matrícula total hombres,Matrícula total mujeres,Matrícula total extranjeros,Matrícula Total
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7456,Diseño,Diseño,Diurno,Programa Regular,Arte y Arquitectura,Profesional con Licenciatura,Ingreso Directo,1996,Andrés Bello,10.0,Diseñador Gráfico o Industrial,Licenciado en Diseño M/Industrial o Gráfico,697.0,934.0,746.0,695.0,821.0,853.0,142.0,9.0,177300.0,5323600.0,121000.0,Pesos,90.0,46.0,105.0,6.0,151,229.0,633.0,18.0,862
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7455,Biología,Biología con mención en Medio Ambiente,Diurno,Programa Regular,Ciencias,Profesional con Licenciatura,Ingreso Directo,1996,Juan Gómez Millas,10.0,Biólogo M/Medio Ambiente,Licenciado en Ciencias Ambientales M/Biología,766.0,883.0,784.0,724.0,869.0,905.0,33.0,6.0,177300.0,4746900.0,121000.0,Pesos,35.0,14.0,25.0,0.0,39,106.0,172.0,2.0,278
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7459,Bioquímica,Bioquímica,Diurno,Programa Regular,Ciencias,Profesional con Licenciatura,Ingreso Directo,1957,Eloisa Díaz,12.0,Bioquímico,Licenciado en Bioquímica,828.0,922.0,816.0,779.0,891.0,919.0,40.0,12.0,177300.0,5387700.0,121000.0,Pesos,39.0,18.0,34.0,2.0,52,172.0,184.0,6.0,356
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7425,Química y carreras similares,Química,Diurno,Programa Regular,Ciencias,Profesional con Licenciatura,Ingreso Directo,1960,Eloisa Díaz,12.0,Químico,Licenciado en Química,709.0,837.0,688.0,622.0,781.0,809.0,41.0,1.0,177300.0,5264800.0,121000.0,Pesos,39.0,21.0,21.0,2.0,42,150.0,101.0,5.0,251
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7427,"Antropología, Arqueología y similares",Antropología - Arqueología,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,1969,Juan Gómez Millas,10.0,"Antropólogo Físico, Antropólogo Social o Arqueólogo","Licenciado en Antropología M/Antropología Física, Antropología Social, Arqueología",755.0,886.0,812.0,762.0,865.0,902.0,76.0,29.0,177300.0,4304200.0,80000.0,Pesos,70.0,36.0,69.0,1.0,105,222.0,451.0,2.0,673
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,40926,Ciencias Políticas y similares,Ciencia Política,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,2019,Andrés Bello,10.0,Cientista Político/a,Licenciado/A en Ciencias Políticas,784.0,914.0,836.0,792.0,874.0,909.0,35.0,13.0,177300.0,4909200.0,121000.0,Pesos,35.0,20.0,28.0,0.0,48,83.0,87.0,2.0,170
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,38518,Ciencias Políticas y similares,Estudios Internacionales,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,2018,Juan Gómez Millas,10.0,Internacionalista,Licenciado/A en Estudios Internacionales,813.0,951.0,863.0,823.0,921.0,951.0,40.0,14.0,177300.0,4283700.0,121000.0,Pesos,35.0,15.0,39.0,4.0,54,59.0,199.0,10.0,258
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7428,Periodismo y similares,Periodismo,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,1953,Juan Gómez Millas,10.0,Periodista,Licenciado en Comunicación Social,743.0,944.0,789.0,748.0,840.0,867.0,111.0,26.0,177300.0,4470800.0,121000.0,Pesos,110.0,66.0,71.0,3.0,137,316.0,405.0,7.0,721
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7429,Psicología,Psicología,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,1947,Juan Gómez Millas,12.0,Psicólogo,Licenciado en Psicología,860.0,948.0,882.0,864.0,916.0,946.0,56.0,54.0,177300.0,4304200.0,121000.0,Pesos,55.0,40.0,70.0,2.0,110,257.0,578.0,11.0,835
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7430,Sociología,Sociología,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,1958,Juan Gómez Millas,10.0,Sociólogo,Licenciado en Sociología,746.0,942.0,795.0,741.0,847.0,876.0,91.0,14.0,177300.0,4304200.0,121000.0,Pesos,90.0,47.0,58.0,1.0,105,227.0,250.0,6.0,477
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,31489,"Trabajo Social, Servicio Social, Planificación Social y similares",Trabajo Social,Diurno,Programa Regular,Ciencias Sociales,Profesional con Licenciatura,Ingreso Directo,2015,Juan Gómez Millas,10.0,Trabajador Social,Licenciado(a) en Trabajo Social,697.0,841.0,746.0,711.0,799.0,835.0,48.0,23.0,177300.0,4304200.0,121000.0,Pesos,48.0,21.0,50.0,1.0,71,78.0,205.0,1.0,283
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7432,Derecho,Derecho,Diurno,Programa Regular,Derecho,Profesional con Licenciatura,Ingreso Directo,1842,Andrés Bello,10.0,Abogado,Licenciado en Ciencias Jurídicas y Sociales,793.0,964.0,859.0,831.0,906.0,936.0,418.0,95.0,177300.0,5982100.0,80000.0,Pesos,420.0,233.0,280.0,5.0,513,1576.0,1892.0,27.0,3468
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,31491,Educación Parvularia,Pedagogía en Educación Parvularia,Diurno,Programa Regular,Educación,Profesional con Licenciatura,Ingreso Directo,2015,Juan Gómez Millas,10.0,Educador(a) de Párvulos,Licenciado(a) en Educación,591.0,780.0,691.0,649.0,795.0,829.0,41.0,4.0,177300.0,4304200.0,121000.0,Pesos,40.0,0.0,45.0,1.0,45,0.0,198.0,5.0,198
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,31490,Pedagogía Básica y menciones,Pedagogía en Educación Básica,Diurno,Programa Regular,Educación,Profesional con Licenciatura,Ingreso Directo,2015,Juan Gómez Millas,10.0,Profesor(a) de Educación Básica con Mención,Licenciado(a) en Educación,709.0,831.0,729.0,677.0,811.0,846.0,32.0,7.0,177300.0,3780900.0,121000.0,Pesos,30.0,8.0,31.0,0.0,39,31.0,150.0,2.0,181
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,31492,"Pedagogía en Biología, Química y similares",Pedagogía en Educación Media en Biología y Química,Diurno,Programa Regular,Educación,Profesional con Licenciatura,Ingreso Directo,2015,Juan Gómez Millas,10.0,Profesor(a) de Educación Media en Biología y Química,"Licenciado(a) en Ciencias Naturales, Licenciado(a) en Educación Media con M/ Ciencias Naturales",668.0,871.0,663.0,570.0,702.0,736.0,42.0,1.0,177300.0,4920500.0,121000.0,Pesos,45.0,18.0,25.0,1.0,43,78.0,107.0,3.0,185
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7765,Pedagogía en Matemáticas,Pedagogía en Educación Media en Matemática y Física,Diurno,Programa Regular,Educación,Profesional con Licenciatura,Ingreso Directo,2005,Juan Gómez Millas,10.0,Profesor de Ed. Media en Matemáticas y Física,Licenciado en Ciencias Exactas y Educación,730.0,929.0,678.0,525.0,735.0,761.0,59.0,1.0,177300.0,4920500.0,121000.0,Pesos,63.0,44.0,16.0,1.0,60,204.0,113.0,4.0,317
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7409,Pedagogía en Música,Teoría de la Música,Diurno,Programa Regular,Educación,Profesional con Licenciatura,Ingreso Directo,1982,Andrés Bello,10.0,Profesor de Esp. en Teoría General de la Música,Licenciado en Artes M/Teoría de la Música,714.0,788.0,723.0,668.0,725.0,744.0,20.0,3.0,177300.0,4471900.0,80000.0,Pesos,20.0,20.0,3.0,0.0,23,83.0,26.0,0.0,109
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7435,Enfermería,Enfermería,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1906,Eloisa Díaz,10.0,Enfermero(a),Licenciado en Enfermería,803.0,861.0,786.0,755.0,866.0,907.0,96.0,27.0,177300.0,5243100.0,121000.0,Pesos,97.0,28.0,95.0,3.0,123,122.0,486.0,7.0,608
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7436,Fonoaudiología,Fonoaudiología,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1955,Eloisa Díaz,10.0,Fonoaudiólogo(a),Licenciado en Fonoaudiología,644.0,800.0,654.0,599.0,802.0,674.0,54.0,1.0,177300.0,5408400.0,121000.0,Pesos,50.0,8.0,47.0,1.0,55,28.0,219.0,2.0,247
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7437,Kinesiología,Kinesiología,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1935,Eloisa Díaz,10.0,Kinesiólogo (a),Licenciado en Kinesiología,791.0,848.0,783.0,743.0,877.0,915.0,42.0,28.0,177300.0,5389700.0,121000.0,Pesos,42.0,34.0,36.0,0.0,70,171.0,176.0,2.0,347
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7438,Medicina,Medicina,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1842,Eloisa Díaz,14.0,Médico Cirujano,Licenciado en Medicina,932.0,948.0,914.0,900.0,949.0,977.0,186.0,43.0,177300.0,7770600.0,121000.0,Pesos,190.0,102.0,127.0,2.0,229,872.0,877.0,27.0,1749
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7439,Nutrición y Dietética,Nutrición y Dietética,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1939,Eloisa Díaz,10.0,Nutricionista,Licenciado en Nutrición y Dietética,745.0,799.0,730.0,696.0,850.0,886.0,46.0,22.0,177300.0,5243100.0,121000.0,Pesos,46.0,21.0,47.0,3.0,68,71.0,234.0,9.0,305
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7440,Obstetricia y Puericultura,Obstetricia y Puericultura,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1934,Eloisa Díaz,10.0,Matrón(a),Licenciado en Obstetricia y Puericultura,810.0,887.0,797.0,755.0,893.0,935.0,74.0,23.0,177300.0,5243100.0,121000.0,Pesos,76.0,2.0,95.0,2.0,97,33.0,594.0,10.0,627
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7443,Odontología,Odontología,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1888,Eloisa Díaz,12.0,Cirujano Dentista,Licenciado en Odontología,816.0,868.0,798.0,772.0,893.0,926.0,95.0,29.0,177300.0,7638300.0,121000.0,Pesos,98.0,39.0,85.0,5.0,124,335.0,596.0,18.0,931
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7426,Química y Farmacia,Química y Farmacia,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1833,Eloisa Díaz,12.0,Químico Farmacéutico,Licenciado en Farmacia,789.0,896.0,773.0,716.0,866.0,903.0,138.0,23.0,177300.0,5387700.0,121000.0,Pesos,139.0,72.0,89.0,4.0,161,544.0,589.0,21.0,1133
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7441,Tecnología Médica,Tecnología Médica,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1960,Eloisa Díaz,10.0,Tecnólogo Médico Con Menciones,Licenciado en Tecnología Médica,822.0,876.0,805.0,768.0,897.0,941.0,85.0,19.0,177300.0,5710500.0,121000.0,Pesos,86.0,41.0,63.0,1.0,104,219.0,288.0,7.0,507
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7442,Terapia Ocupacional,Terapia Ocupacional,Diurno,Programa Regular,Salud,Profesional con Licenciatura,Ingreso Directo,1963,Eloisa Díaz,10.0,Terapeuta Ocupacional,Licenciado en Ciencias de la Ocupación Humana,696.0,872.0,705.0,661.0,829.0,859.0,52.0,14.0,177300.0,5243100.0,121000.0,Pesos,55.0,9.0,57.0,1.0,66,51.0,295.0,2.0,346
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,La Pintana,Región Metropolitana,49476,Ingeniería Ambiental,Ingeniería en Recursos Hídricos,Diurno,Programa Regular,Tecnología,Profesional con Licenciatura,Ingreso Directo,2023,Sur,10.0,Ingeniero/A en Recursos Hídricos,Licenciado/A en Recursos Hídricos,653.0,814.0,658.0,524.0,718.0,735.0,28.0,1.0,177300.0,5681600.0,121000.0,Pesos,30.0,16.0,13.0,3.0,29,18.0,13.0,3.0,31
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,La Pintana,Región Metropolitana,7458,Ingeniería Ambiental,Ingeniería en Recursos Naturales Renovables,Diurno,Programa Regular,Tecnología,Profesional con Licenciatura,Ingreso Directo,1996,Sur,10.0,Ingeniero en Recursos Naturales Renovables,Licenciatura en Ciencias de los Recursos Naturales Renovables,683.0,839.0,716.0,635.0,807.0,837.0,69.0,1.0,177300.0,5681600.0,121000.0,Pesos,70.0,33.0,37.0,2.0,70,200.0,273.0,6.0,473
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,7416,Ingeniería en Biotecnología y similares,Ingeniería en Biotecnología Molecular,Diurno,Programa Regular,Tecnología,Profesional con Licenciatura,Ingreso Directo,1995,Juan Gómez Millas,10.0,Ingeniero en Biotecnología Molecular,Licenciado en Ingeniería en Biotecnología Molecular,877.0,923.0,868.0,832.0,928.0,966.0,34.0,15.0,177300.0,5209600.0,121000.0,Pesos,35.0,20.0,29.0,3.0,49,139.0,179.0,10.0,318
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,33615,Ingeniería en Sonido y similares,Ingeniería en Sonido,Diurno,Programa Regular,Tecnología,Profesional con Licenciatura,Ingreso Directo,2016,Juan Gómez Millas,10.0,"Ingeniero(a) en Sonido, Ingeniero(a) en Sonido Con Mención","Licenciado(a) en Artes, Mención Sonido",862.0,898.0,834.0,782.0,871.0,903.0,24.0,9.0,177300.0,5209600.0,121000.0,Pesos,24.0,26.0,7.0,1.0,33,154.0,29.0,8.0,183
